name,categoria,calories,protein,carbs,fat,fiber,source
Batata cocida,Verduras y Hortalizas,90,2.0,21.0,0.1,3.3,basico
Tomate,Verduras y Hortalizas,18,0.9,3.9,0.2,1.2,basico
Lechuga,Verduras y Hortalizas,15,1.4,2.9,0.2,1.3,basico
Zanahoria,Verduras y Hortalizas,41,0.9,10.0,0.2,2.8,basico
Cebolla,Verduras y Hortalizas,40,1.1,9.3,0.1,1.7,basico
Ajo,Verduras y Hortalizas,149,6.4,33.0,0.5,2.1,basico
Morrón rojo,Verduras y Hortalizas,31,1.0,6.0,0.3,2.1,basico
Morrón verde,Verduras y Hortalizas,20,0.9,4.6,0.2,1.7,basico
Zapallo,Verduras y Hortalizas,26,1.0,6.5,0.1,0.5,basico
Zucchini,Verduras y Hortalizas,17,1.2,3.1,0.3,1.0,basico
Brócoli,Verduras y Hortalizas,34,2.8,7.0,0.4,2.6,basico
Coliflor,Verduras y Hortalizas,25,1.9,5.0,0.3,2.0,basico
Espinaca,Verduras y Hortalizas,23,2.9,3.6,0.4,2.2,basico
Acelga,Verduras y Hortalizas,19,1.8,3.7,0.2,1.6,basico
Choclo,Verduras y Hortalizas,86,3.3,19.0,1.4,2.7,basico
Choclo cocido,Verduras y Hortalizas,96,3.4,21.0,1.5,2.0,basico
Apio,Verduras y Hortalizas,16,0.7,3.0,0.2,1.6,basico
Pepino,Verduras y Hortalizas,15,0.7,3.6,0.1,0.5,basico
Berenjena,Verduras y Hortalizas,25,1.0,6.0,0.2,3.0,basico
Remolacha,Verduras y Hortalizas,43,1.6,10.0,0.2,2.8,basico
Puerro,Verduras y Hortalizas,61,1.5,14.0,0.3,1.8,basico
Champignones,Verduras y Hortalizas,22,3.1,3.3,0.3,1.0,basico
Palta,Verduras y Hortalizas,160,2.0,9.0,15.0,6.7,basico
Banana,Frutas,89,1.1,23.0,0.3,2.6,basico
Manzana,Frutas,52,0.3,14.0,0.2,2.4,basico
Naranja,Frutas,47,0.9,12.0,0.1,2.4,basico
Mandarina,Frutas,53,0.8,13.0,0.3,1.8,basico
Limón,Frutas,29,1.1,9.3,0.3,2.8,basico
Frutilla,Frutas,32,0.7,7.7,0.3,2.0,basico
Uva,Frutas,69,0.7,18.0,0.2,0.9,basico
Pera,Frutas,57,0.4,15.0,0.1,3.1,basico
Durazno,Frutas,39,0.9,10.0,0.3,1.5,basico
Sandía,Frutas,30,0.6,7.6,0.2,0.4,basico
Melón,Frutas,34,0.8,8.2,0.2,0.9,basico
Kiwi,Frutas,61,1.1,15.0,0.5,3.0,basico
Ananá,Frutas,50,0.5,13.0,0.1,1.4,basico
Ciruela,Frutas,46,0.7,11.0,0.3,1.4,basico
Cereza,Frutas,63,1.1,16.0,0.2,2.1,basico
Mango,Frutas,60,0.8,15.0,0.4,1.6,basico
Papaya,Frutas,43,0.5,11.0,0.3,1.7,basico
Aceite de oliva,Aceites y Grasas,884,0.0,0.0,100.0,0.0,basico
Aceite de girasol,Aceites y Grasas,884,0.0,0.0,100.0,0.0,basico
Aceite de coco,Aceites y Grasas,892,0.0,0.0,100.0,0.0,basico
Aceite de maíz,Aceites y Grasas,884,0.0,0.0,100.0,0.0,basico
Almendras,Frutos Secos,579,21.0,22.0,50.0,12.5,basico
Nueces,Frutos Secos,654,15.0,14.0,65.0,6.7,basico
Maní tostado,Frutos Secos,585,24.0,21.0,50.0,8.0,basico
Maní crudo,Frutos Secos,567,26.0,16.0,49.0,8.5,basico
Semillas de chía,Frutos Secos,486,17.0,42.0,31.0,34.4,basico
Semillas de lino,Frutos Secos,534,18.0,29.0,42.0,27.0,basico
Semillas de girasol,Frutos Secos,584,21.0,20.0,51.0,8.6,basico
Semillas de sésamo,Frutos Secos,573,18.0,23.0,50.0,11.8,basico
Castañas de cajú,Frutos Secos,553,18.0,30.0,44.0,3.3,basico
Pistachos,Frutos Secos,562,20.0,28.0,45.0,10.3,basico
Azúcar,Azúcares y Endulzantes,400,0.0,100.0,0.0,0.0,basico
Azúcar mascabo,Azúcares y Endulzantes,380,0.3,97.0,0.1,0.0,basico
Miel,Azúcares y Endulzantes,304,0.3,82.0,0.0,0.2,basico
Mermelada,Azúcares y Endulzantes,250,0.5,65.0,0.1,1.0,basico
Dulce de leche,Azúcares y Endulzantes,327,7.0,55.0,9.0,0.0,basico
Sal fina,Condimentos,0,0.0,0.0,0.0,0.0,basico
Caldo en cubito,Condimentos,167,4.0,27.0,5.0,0.0,basico
Salsa de tomate,Salsas y Aderezos,29,1.5,6.0,0.4,1.5,basico
Puré de tomate,Salsas y Aderezos,38,1.9,7.5,0.4,1.8,basico
Ketchup,Salsas y Aderezos,101,1.3,25.0,0.1,0.3,basico
Mayonesa,Salsas y Aderezos,680,1.0,2.5,75.0,0.0,basico
Mostaza,Salsas y Aderezos,66,4.4,5.8,3.6,0.0,basico
Salsa de soja,Salsas y Aderezos,60,5.5,8.5,0.1,0.8,basico
Vinagre de manzana,Salsas y Aderezos,21,0.0,0.9,0.0,0.0,basico
Proteína whey,Suplementos,380,75.0,8.0,5.0,0.0,basico
Proteína caseína,Suplementos,370,72.0,10.0,4.0,0.0,basico
Asado de tira,Carnes y Pescados,170,18.4,0.0,10.7,0.0,argenfood_unlu
Vacío,Carnes y Pescados,174,20.0,0.0,11.0,0.0,argenfood_unlu
Costilla vacuna,Carnes y Pescados,170,18.4,0.0,10.7,0.0,argenfood_unlu
Bife de lomo,Carnes y Pescados,116,20.0,0.0,4.0,0.0,argenfood_unlu
Cuadril,Carnes y Pescados,111,21.0,0.0,3.0,0.0,argenfood_unlu
Peceto,Carnes y Pescados,125,23.0,0.0,1.9,0.0,argenfood_unlu
Matambre,Carnes y Pescados,160,19.5,0.0,8.5,0.0,argenfood_unlu
Entraña,Carnes y Pescados,174,19.0,0.0,11.0,0.0,argenfood_unlu
Tapa de asado,Carnes y Pescados,170,18.4,0.0,10.7,0.0,argenfood_unlu
Tapa de cuadril,Carnes y Pescados,211,20.0,0.0,15.0,0.0,argenfood_unlu
Rosbif,Carnes y Pescados,154,22.0,0.0,7.6,0.0,argenfood_unlu
Osobuco,Carnes y Pescados,135,19.0,0.0,5.0,0.0,argenfood_unlu
Colita de cuadril,Carnes y Pescados,143,21.0,0.0,6.7,0.0,argenfood_unlu
Bola de lomo,Carnes y Pescados,114,22.0,0.0,3.2,0.0,argenfood_unlu
Marucha,Carnes y Pescados,132,20.0,0.0,6.1,0.0,argenfood_unlu
Aguja,Carnes y Pescados,146,19.4,0.0,7.4,0.0,argenfood_unlu
Falda,Carnes y Pescados,139,20.0,0.0,6.5,0.0,argenfood_unlu
Corvina,Carnes y Pescados,104,20.0,0.0,2.5,0.0,basico
Lenguado,Carnes y Pescados,71,12.4,0.0,1.9,0.0,basico
Pejerrey,Carnes y Pescados,80,19.5,0.0,1.5,0.0,basico
Surubí,Carnes y Pescados,165,17.5,0.0,10.5,0.0,basico
Dorado de río,Carnes y Pescados,90,17.0,0.0,2.8,0.0,basico
Besugo,Carnes y Pescados,86,17.0,0.0,2.0,0.0,basico
Brótola,Carnes y Pescados,88,19.0,0.0,1.0,0.0,basico
Anchoíta,Carnes y Pescados,131,20.4,0.0,4.9,0.0,basico
Calamar,Carnes y Pescados,92,15.6,3.1,1.4,0.0,basico
Pulpo,Carnes y Pescados,82,15.3,2.2,1.1,0.0,basico
Mejillones,Carnes y Pescados,86,11.9,3.7,2.2,0.0,basico
Almejas,Carnes y Pescados,73,12.8,2.6,1.0,0.0,basico
Vieiras,Carnes y Pescados,69,12.3,3.2,0.5,0.0,basico
Higo,Frutas,74,0.75,19.2,0.3,2.9,basico
Granada,Frutas,83,1.67,18.7,1.17,4.0,basico
Frambuesa,Frutas,52,1.2,11.9,0.65,6.5,basico
Arándano,Frutas,57,0.74,14.5,0.33,2.4,basico
Mora,Frutas,43,1.39,9.6,0.49,5.3,basico
Maracuyá,Frutas,97,2.2,23.4,0.7,10.4,basico
Coco fresco,Frutas,354,3.33,15.2,33.5,9.0,basico
Pomelo,Frutas,40,0.77,9.6,0.14,1.0,basico
Lima,Frutas,30,0.7,10.5,0.2,2.8,basico
Guayaba,Frutas,68,2.55,14.3,0.95,5.4,basico
Damasco,Frutas,48,1.4,11.1,0.39,2.0,basico
Membrillo,Frutas,57,0.4,15.3,0.1,1.9,basico
Níspero,Frutas,47,0.43,12.1,0.2,1.7,basico
Tuna,Frutas,41,0.73,9.6,0.51,3.6,basico
Alcaucil,Verduras y Hortalizas,47,3.27,10.5,0.15,5.4,basico
Chaucha,Verduras y Hortalizas,31,1.83,7.0,0.22,2.7,basico
Arvejas frescas,Verduras y Hortalizas,81,5.42,14.5,0.4,5.1,basico
Habas frescas,Verduras y Hortalizas,88,7.92,13.7,0.7,5.4,basico
Nabo,Verduras y Hortalizas,28,0.9,6.4,0.1,1.8,basico
Rabanito,Verduras y Hortalizas,16,0.68,3.4,0.1,1.6,basico
Berro,Verduras y Hortalizas,11,2.3,1.3,0.1,0.5,basico
Rúcula,Verduras y Hortalizas,25,2.58,3.7,0.66,1.6,basico
Repollo,Verduras y Hortalizas,24,1.28,5.8,0.1,2.5,basico
Kale,Verduras y Hortalizas,35,2.92,4.4,1.49,4.1,basico
Cebolla de verdeo,Verduras y Hortalizas,32,1.83,7.3,0.19,2.6,basico
Morrón amarillo,Verduras y Hortalizas,27,1.0,6.3,0.21,0.9,basico
Hinojo,Verduras y Hortalizas,31,1.24,7.3,0.2,3.1,basico
Endibia,Verduras y Hortalizas,17,1.25,3.4,0.2,3.1,basico
Espárrago,Verduras y Hortalizas,20,2.2,3.9,0.12,2.2,basico
Tomate cherry,Verduras y Hortalizas,18,0.88,3.9,0.2,1.2,basico
Ají picante,Verduras y Hortalizas,40,1.87,8.8,0.44,1.5,basico
Choclo desgranado,Verduras y Hortalizas,86,3.27,19.0,1.35,2.7,basico
